comp_code,comp_name,employee_id,employee_name,date,func_code,func,salary
83,DM Company Head Quarters,26193,Jacob Smith,1/1/2022 0:00,25,Lawyer,"6335,56"
83,DM Company Head Quarters,25322,Michael Johnson,1/1/2022 0:00,202,Tax and Accounting Analyst,"2619,35"
83,DM Company Head Quarters,27602,Matthew Williams,1/1/2022 0:00,109,Senior Payroll Department Analyst,"1221,67"
83,DM Company Head Quarters,27127,Joshua Brown,1/1/2022 0:00,13,Engineering Assistant,4000
83,DM Company Head Quarters,23007,Christopher Jones,1/1/2022 0:00,238,Financial Analyst,"3012,52"
83,DM Company Head Quarters,25634,Nicholas Miller,1/1/2022 0:00,200,Legal Analyst,"1549,28"
83,DM Company Head Quarters,23198,Andrew Davis,1/1/2022 0:00,13,Engineering Assistant,3000
83,DM Company Head Quarters,18876,Joseph Garcia,1/1/2022 0:00,13,Engineering Assistant,"3266,67"
83,DM Company Head Quarters,26830,Daniel Rodriguez,1/1/2022 0:00,13,Engineering Assistant,3000
83,DM Company Head Quarters,28590,William Wilson,1/1/2022 0:00,64,Accounting Assistant I,2500
83,DM Company Head Quarters,29765,Brandon Martinez,1/1/2022 0:00,111,Administrative Assistant,1500
83,DM Company Head Quarters,12346,John Anderson,1/1/2022 0:00,64,Accounting Assistant I,2500
83,DM Company Head Quarters,29648,Zachary Taylor,1/1/2022 0:00,43,Payroll Department Assistant,1600
83,DM Company Head Quarters,15966,Anthony Hernandez,1/1/2022 0:00,75,Maintenance Assistant,"1430,07"
83,DM Company Head Quarters,25434,James Moore,1/1/2022 0:00,64,Accounting Assistant I,2500
83,DM Company Head Quarters,29060,Justin Martin,1/1/2022 0:00,84,Purchaser,4300
83,DM Company Head Quarters,30367,Alexander Jackson,1/1/2022 0:00,237,Safety and Environmental Coordinator,"5612,9"
83,DM Company Head Quarters,24866,Jonathan Thompson,1/1/2022 0:00,124,Payroll Department Manager,5000
83,DM Company Head Quarters,18441,Austin White,1/1/2022 0:00,207,Administrative Manager,4200
83,DM Company Head Quarters,16834,Dylan Lopez,1/1/2022 0:00,29,Civil Engineer,3500
83,DM Company Head Quarters,9371,Benjamin Gonzalez,1/1/2022 0:00,29,Civil Engineer,5500
83,DM Company Head Quarters,25648,Noah Harris,1/1/2022 0:00,203,Accounting Manager,5500
83,DM Company Head Quarters,24864,Samuel Clark,1/1/2022 0:00,124,Payroll Department Manager,"1388,26"
83,DM Company Head Quarters,29417,Robert Lewis,1/1/2022 0:00,224,Strategies Manager,"4209,68"
83,DM Company Head Quarters,13719,Nathan Robinson,1/1/2022 0:00,250,Asset and Warehouse Manager,"2372,71"
83,DM Company Head Quarters,18883,Kevin Walker,1/1/2022 0:00,36,Financial Manager,"5567,78"
83,DM Company Head Quarters,28767,Thomas Perez,1/1/2022 0:00,11,Young Apprentice,606
83,DM Company Head Quarters,29836,Jose Hall,1/1/2022 0:00,11,Young Apprentice,606
83,DM Company Head Quarters,29838,Kyle Young,1/1/2022 0:00,11,Young Apprentice,606
83,DM Company Head Quarters,29886,Caleb Allen,1/1/2022 0:00,11,Young Apprentice,606
83,DM Company Head Quarters,29837,Jason Sanchez,1/1/2022 0:00,11,Young Apprentice,
83,DM Company Head Quarters,25273,Aaron Wright,1/1/2022 0:00,78,Mechanic,"2504,48"
83,DM Company Head Quarters,27834,Eric King,1/1/2022 0:00,8,Driver,"1650,56"
83,DM Company Head Quarters,26010,Brian Scott,1/1/2022 0:00,116,Cashier,1260
83,DM Company Head Quarters,26640,Adam Green,1/1/2022 0:00,116,Cashier,1260
83,DM Company Head Quarters,28116,Jack Baker,1/1/2022 0:00,2,Bricklayer,1859
83,DM Company Head Quarters,27749,Isaiah Adams,1/1/2022 0:00,231,Bricklayer B,1859
83,DM Company Head Quarters,27495,Juan Nelson,1/1/2022 0:00,236,Painter B,1859
83,DM Company Head Quarters,29415,Luis Hill,1/1/2022 0:00,21,Receptionist,"1216,13"
83,DM Company Head Quarters,25789,Connor Ramirez,1/1/2022 0:00,7,General Services Assistant,1212
ELMO,DM Company Development Center,28000,Elijah Mitchell,1/1/2022 0:00,20,Trainee,950
ELMO,DM Company Development Center,30170,Isaac Roberts,1/1/2022 0:00,20,Trainee,950
ELMO,DM Company Development Center,27810,Steven Carter,1/1/2022 0:00,20,Trainee,950
ELMO,DM Company Development Center,23171,Evan Phillips,1/1/2022 0:00,7,General Services Assistant,1212
ELMO,DM Company Development Center,3034,Jared Evans,1/1/2022 0:00,7,General Services Assistant,"1361,85"
ELMO,DM Company Development Center,23436,Sean Turner,1/1/2022 0:00,10,Watchman,"1388,55"
ELMO,DM Company Development Center,11892,Timothy Torres,1/1/2022 0:00,10,Watchman,1859
1,DM Company RH Center,8477,Luke Parker,1/1/2022 0:00,225,Administrative Analyst,3500
1,DM Company RH Center,23691,Cody Collins,1/1/2022 0:00,113,Mechanical Assistant,"1415,95"
1,DM Company RH Center,23732,Nathaniel Edwards,1/1/2022 0:00,232,Carpenter B,1859
1,DM Company RH Center,23690,Seth Stewart,1/1/2022 0:00,18,Assembler,1859
1,DM Company RH Center,23693,Mason Flores,1/1/2022 0:00,231,Bricklayer B,1859
1,DM Company RH Center,23694,Richard Morris,1/1/2022 0:00,231,Bricklayer B,1859
1,DM Company RH Center,23734,Carlos Nguyen,1/1/2022 0:00,231,Bricklayer B,1859
1,DM Company RH Center,23724,Patrick Murphy,1/1/2022 0:00,231,Bricklayer B,1859
1,DM Company RH Center,23701,Bryan Rivera,1/1/2022 0:00,231,Bricklayer B,1859
1,DM Company RH Center,23703,Cole Cook,1/1/2022 0:00,7,General Services Assistant,1212
1,DM Company RH Center,23697,Jackson Rogers,1/1/2022 0:00,7,General Services Assistant,1212
1,DM Company RH Center,23699,Ian Morgan,1/1/2022 0:00,7,General Services Assistant,1212
1,DM Company RH Center,23700,Garrett Peterson,1/1/2022 0:00,7,General Services Assistant,1212
1,DM Company Administration Center,25379,Trevor Cooper,1/1/2022 0:00,25,Lawyer,"3714,5"
1,DM Company Administration Center,27042,Jesus Reed,1/1/2022 0:00,208,Sales Analyst,"3612,9"
1,DM Company Administration Center,26528,Chase Bailey,1/1/2022 0:00,51,Marketing Analyst,"3612,9"
1,DM Company Administration Center,26734,Mark Bell,1/1/2022 0:00,205,Senior Legal Assistant,"1570,85"
1,DM Company Administration Center,28758,Sebastian Kelly,1/1/2022 0:00,111,Administrative Assistant,1212
1,DM Company Administration Center,28729,Antonio Howard,1/1/2022 0:00,111,Administrative Assistant,1212
1,DM Company Administration Center,28231,Lucas Ward,1/1/2022 0:00,111,Administrative Assistant,1300
1,DM Company Administration Center,28228,Jeremy Cox,1/1/2022 0:00,111,Administrative Assistant,"1174,19"
1,DM Company Administration Center,20523,Gavin Diaz,1/1/2022 0:00,15,Collection Assistant,"2067,56"
1,DM Company Administration Center,20521,Miguel Richardson,1/1/2022 0:00,15,Collection Assistant,"2067,56"
1,DM Company Administration Center,28746,Julian Wood,1/1/2022 0:00,7,General Services Assistant,"1133,8"
1,DM Company Administration Center,20091,Alejandro Watson,1/1/2022 0:00,85,Collection Coordinator,"1990,47"
1,DM Company Administration Center,28630,Dalton Brooks,1/1/2022 0:00,20,Trainee,950
1,DM Company Administration Center,206,Bryce Bennett,1/1/2022 0:00,32,Portfolio Manager,"1348,44"
